"","Date","Open*","High","Low","Close**","Volume","Market Cap"
"558","Dec 04, 2017",11315.4,11657.2,11081.8,11657.2,"6,132,409,856","194,912,755,450"
"559","Dec 03, 2017",11082.7,11858.7,10862,11323.2,"6,608,309,760","189,302,389,920"
"560","Dec 02, 2017",10978.3,11320.2,10905.1,11074.6,"5,138,500,096","185,122,039,035"
"561","Dec 01, 2017",10198.6,11046.7,9694.65,10975.6,"6,783,119,872","183,444,663,767"
"562","Nov 30, 2017",9906.79,10801,9202.05,10233.6,"8,310,689,792","171,020,085,600"
"563","Nov 29, 2017",10077.4,11517.4,9601.03,9888.61,"11,568,799,744","165,233,728,795"
"564","Nov 28, 2017",9823.43,10125.7,9736.3,10058.8,"6,348,819,968","168,056,012,886"
"565","Nov 27, 2017",9352.72,9818.35,9352.72,9818.35,"5,653,320,192","164,019,464,090"
"566","Nov 26, 2017",8789.04,9522.93,8775.59,9330.55,"5,475,579,904","155,850,742,551"
"567","Nov 25, 2017",8241.71,8790.92,8191.15,8790.92,"4,342,060,032","146,820,557,006"
"568","Nov 24, 2017",8074.02,8374.16,7940.93,8253.69,"5,058,610,176","137,831,976,173"
"569","Nov 23, 2017",8232.38,8267.4,8038.77,8038.77,"4,225,179,904","134,227,860,479"
"570","Nov 22, 2017",8077.95,8302.26,8075.47,8253.55,"3,633,530,112","137,797,862,084"
"571","Nov 21, 2017",8205.74,8348.66,7762.71,8071.26,"4,277,609,984","134,739,693,480"
"572","Nov 20, 2017",8039.07,8336.86,7949.36,8200.64,"3,488,450,048","136,881,802,624"
"573","Nov 19, 2017",7766.03,8101.91,7694.1,8036.49,"3,149,319,936","134,124,196,206"
"574","Nov 18, 2017",7697.21,7884.99,7463.44,7790.15,"3,667,190,016","129,997,247,838"
"575","Nov 17, 2017",7853.57,8004.59,7561.09,7708.99,"4,651,670,016","128,621,507,062"
"576","Nov 16, 2017",7323.24,7967.38,7176.58,7871.69,"5,123,809,792","131,328,418,537"
"577","Nov 15, 2017",6634.76,7342.25,6634.76,7315.54,"4,200,880,128","122,035,826,506"
"578","Nov 14, 2017",6561.48,6764.98,6461.75,6635.75,"3,197,110,016","110,683,148,744"
