Date,Open Price,Close Price,High Price,Low Price,Volume
21-Mar-2013,14030.79,13980.82,14045.46,13915.47,283097344
22-Mar-2013,13980.78,13957.61,14021.22,13899.11,256988240
25-Mar-2013,13957.63,13961.33,14120.34,13955.98,280246464
26-Mar-2013,13961.32,13988.14,14030.76,13932.34,268247728
27-Mar-2013,13988.13,13862.36,14018.80,13809.45,274306368
28-Mar-2013,13862.28,13923.04,13948.55,13861.03,266900896
02-Apr-2013,13922.95,14056.96,14074.38,13922.89,254462288
03-Apr-2013,14056.98,13960.20,14057.87,13947.15,257173936
04-Apr-2013,13960.32,13755.55,13989.90,13737.42,289552608
05-Apr-2013,13755.53,13480.21,13819.85,13450.23,314038080
08-Apr-2013,13480.20,13523.71,13615.80,13480.05,242932944
09-Apr-2013,13523.72,13598.30,13607.81,13506.39,272339968
10-Apr-2013,13598.29,13794.28,13810.05,13592.38,311814560
11-Apr-2013,13794.27,13968.08,13985.45,13785.84,290676256
12-Apr-2013,13968.11,13906.80,13968.91,13868.56,255451376
15-Apr-2013,13906.89,13741.61,13907.59,13672.14,278772672
16-Apr-2013,13741.63,13659.57,13742.33,13596.28,260624304
17-Apr-2013,13659.52,13531.17,13724.27,13505.49,248770496
18-Apr-2013,13531.16,13553.04,13624.31,13502.11,246665920
19-Apr-2013,13553.04,13616.72,13616.96,13550.51,252061504
22-Apr-2013,13616.80,13591.49,13706.70,13566.67,209873008
23-Apr-2013,13591.46,13817.46,13817.46,13591.46,248759968
24-Apr-2013,13817.48,13895.10,13902.49,13788.28,268120112
25-Apr-2013,13895.01,14006.13,14024.04,13895.01,267257696
26-Apr-2013,14006.12,13974.98,14006.12,13907.94,204462128
29-Apr-2013,13974.91,13992.80,14053.16,13960.20,220838720
30-Apr-2013,13992.83,13949.87,14071.97,13889.62,302825472
01-May-2013,13949.93,14029.35,14029.35,13947.54,165512128
02-May-2013,14029.38,13930.23,14029.38,13829.68,264524640
03-May-2013,13930.16,14106.23,14142.95,13930.16,287404000
07-May-2013,14106.29,14101.42,14167.66,14079.68,272467232
08-May-2013,14101.38,14193.28,14195.31,14101.29,238627056
09-May-2013,14193.35,14281.62,14281.62,14176.02,248739728
10-May-2013,14281.74,14315.66,14341.96,14258.79,265819920
13-May-2013,14315.58,14299.90,14334.98,14243.92,194519088
14-May-2013,14299.89,14377.69,14377.69,14293.26,235009488
15-May-2013,14377.76,14476.01,14476.80,14367.84,248188096
16-May-2013,14475.99,14566.54,14571.95,14474.04,343110080
17-May-2013,14566.66,14693.06,14696.30,14563.33,304066720
20-May-2013,14693.04,14720.92,14730.80,14680.71,219747152
21-May-2013,14720.92,14805.45,14805.45,14709.96,249127872
22-May-2013,14805.48,14824.14,14871.79,14745.72,281281504
23-May-2013,14824.16,14507.72,14824.16,14436.01,302497952
24-May-2013,14507.73,14393.01,14574.99,14376.58,242901344
28-May-2013,14393.07,14622.40,14644.30,14392.88,213877040
29-May-2013,14622.13,14389.56,14622.13,14373.80,238251232
30-May-2013,14389.49,14442.74,14442.83,14357.21,194783248
31-May-2013,14442.70,14350.92,14453.39,14293.18,389978208
03-Jun-2013,14350.76,14233.61,14350.76,14201.05,193433952
04-Jun-2013,14233.68,14259.40,14350.86,14233.68,196028480
05-Jun-2013,14259.37,13996.88,14259.37,13983.34,322878688
06-Jun-2013,13996.78,13840.18,14039.57,13840.18,227755808
