"","open","high","low","close","volume","adjusted_close"
"X2012.03.14",3.34,3.57,3.39,3.57,5959,3.57
"X2012.03.15",3.57,3.54,3.4,3.48,8257,3.48
"X2012.03.16",3.48,3.53,3.4,3.5,7261,3.5
"X2012.03.17",3.5,3.49,3.38,3.4,1894,3.4
"X2012.03.18",3.4,3.42,3.31,3.34,1671,3.34
"X2012.03.19",3.34,3.44,2.92,3.01,7052,3.01
"X2012.03.20",3.01,3.16,2.9,3.11,5604,3.11
"X2012.03.21",3.11,3.14,3.05,3.09,7088,3.09
"X2012.03.22",3.09,3.14,2.98,3.05,6507,3.05
"X2012.03.23",3.05,3.09,2.97,3.05,3611,3.05
"X2012.03.24",3.05,3.05,2.97,2.99,3983,2.99
"X2012.03.25",2.99,3.03,2.78,2.91,4452,2.91
"X2012.03.25.1",2.91,3.04,2.88,2.99,1115,2.99
"X2012.03.26",2.99,3.09,2.9,3.09,10597,3.09
"X2012.03.27",3.09,3.1,3,3.06,4884,3.06
"X2012.03.28",3.06,3.1,3.02,3.08,3165,3.08
"X2012.03.29",3.08,3.1,3.01,3.1,3447,3.1
"X2012.03.30",3.1,3.15,3.07,3.11,5892,3.11
"X2012.03.31",3.11,3.08,3.02,3.08,2695,3.08
"X2012.04.01",3.08,3.2,3.02,3.19,2191,3.19
"X2012.04.02",3.19,3.18,3.05,3.17,8564,3.17
"X2012.04.03",3.17,3.18,3.12,3.16,7893,3.16
"X2012.04.04",3.16,3.19,3.11,3.17,3745,3.17
"X2012.04.05",3.17,3.2,3.08,3.13,4951,3.13
"X2012.04.06",3.13,3.14,3.02,3.04,3044,3.04
"X2012.04.07",3.04,3.07,2.92,3.06,1245,3.06
"X2012.04.08",3.06,3.1,2.94,3.1,952,3.1
"X2012.04.09",3.1,3.14,2.98,3.04,1069,3.04
"X2012.04.10",3.04,3.18,3.08,3.18,10785,3.18
"X2012.04.11",3.18,3.18,3.1,3.17,5636,3.17
"X2012.04.12",3.17,3.17,3.04,3.16,6314,3.16
"X2012.04.13",3.16,3.2,3.1,3.18,1608,3.18
"X2012.04.14",3.18,3.17,3.11,3.13,1041,3.13
"X2012.04.15",3.13,3.18,3.08,3.12,1370,3.12
"X2012.04.16",3.12,3.22,3.13,3.22,9119,3.22
"X2012.04.17",3.22,3.31,3.21,3.29,7225,3.29
"X2012.04.18",3.29,3.33,3.25,3.3,9071,3.3
"X2012.04.19",3.3,3.37,3.26,3.35,14259,3.35
"X2012.04.20",3.35,3.43,3.25,3.33,8041,3.33
"X2012.04.21",3.33,3.34,3.2,3.28,2061,3.28
"X2012.04.22",3.28,3.31,3.15,3.16,2920,3.16
"X2012.04.23",3.16,3.28,3.16,3.22,11690,3.22
"X2012.04.24",3.22,3.28,3.2,3.23,4734,3.23
"X2012.04.25",3.23,3.28,3.18,3.23,6449,3.23
"X2012.04.26",3.23,3.24,3.19,3.23,5952,3.23
"X2012.04.27",3.23,3.22,3.06,3.11,9284,3.11
"X2012.04.28",3.11,3.13,3.07,3.07,2228,3.07
"X2012.04.29",3.07,3.15,3.07,3.11,2740,3.11
"X2012.04.30",3.11,3.15,3.1,3.14,15719,3.14
"X2012.05.01",3.14,3.25,3.13,3.13,3554,3.13
"X2012.05.02",3.13,3.26,3.13,3.25,10311,3.25
"X2012.05.03",3.25,3.26,3.2,3.22,5322,3.22
"X2012.05.04",3.22,3.24,3.19,3.19,5623,3.19
"X2012.05.05",3.19,3.23,3.18,3.2,3837,3.2
"X2012.05.06",3.2,3.22,3.16,3.18,2107,3.18
"X2012.05.07",3.18,3.21,3.13,3.15,1568,3.15
"X2012.05.08",3.15,3.22,3.13,3.19,12573,3.19
"X2012.05.09",3.19,3.23,3.05,3.09,10660,3.09
"X2012.05.10",3.09,3.17,3.05,3.15,9937,3.15
"X2012.05.11",3.15,3.16,3.09,3.15,7462,3.15
"X2012.05.12",3.15,3.17,3.1,3.13,1097,3.13
"X2012.05.13",3.13,3.18,3.11,3.13,2079,3.13
"X2012.05.14",3.13,3.21,3.12,3.17,11202,3.17
"X2012.05.15",3.17,3.25,3.18,3.21,9059,3.21
"X2012.05.16",3.21,3.27,3.2,3.27,4227,3.27
"X2012.05.17",3.27,3.32,3.23,3.28,12434,3.28
"X2012.05.18",3.28,3.33,3.27,3.31,1554,3.31
"X2012.05.19",3.31,3.3,3.21,3.21,2435,3.21
"X2012.05.20",3.21,3.31,3.21,3.28,2259,3.28
"X2012.05.21",3.28,3.31,3.25,3.28,13578,3.28
"X2012.05.22",3.28,3.34,3.27,3.29,6647,3.29
"X2012.05.23",3.29,3.35,3.26,3.3,6425,3.3
"X2012.05.24",3.3,3.36,3.29,3.29,4883,3.29
"X2012.05.25",3.29,3.35,3.27,3.3,2518,3.3
"X2012.05.26",3.3,3.35,3.21,3.35,3037,3.35
"X2012.05.27",3.35,3.37,3.28,3.29,2737,3.29
"X2012.05.28",3.29,3.36,3.27,3.36,28598,3.36
"X2012.05.29",3.36,3.38,3.3,3.36,10139,3.36
"X2012.05.30",3.36,3.39,3.32,3.36,4522,3.36
"X2012.05.31",3.36,3.4,3.33,3.39,1021,3.39
"X2012.06.01",3.39,3.4,3.33,3.33,1626,3.33
"X2012.06.02",3.33,3.5,3.35,3.46,9850,3.46
"X2012.06.03",3.46,3.53,3.43,3.5,3849,3.5
"X2012.06.04",3.5,3.6,3.48,3.6,2628,3.6
"X2012.06.05",3.6,3.63,3.55,3.56,3048,3.56
"X2012.06.06",3.56,3.67,3.58,3.66,15139,3.66
"X2012.06.07",3.66,3.72,3.65,3.7,9396,3.7
"X2012.06.08",3.7,3.74,3.63,3.68,9016,3.68
"X2012.06.09",3.68,3.69,3.55,3.55,2844,3.55
"X2012.06.10",3.55,3.7,3.55,3.66,2999,3.66
"X2012.06.11",3.66,3.71,3.6,3.69,3435,3.69
"X2012.06.12",3.69,3.92,3.69,3.9,19421,3.9
"X2012.06.13",3.9,3.93,3.83,3.91,18201,3.91
"X2012.06.14",3.91,4.19,3.88,4.19,7601,4.19
"X2012.06.15",4.19,4.3,4.15,4.21,4136,4.21
"X2012.06.16",4.21,4.27,4,4.1,13121,4.1
"X2012.06.17",4.1,4.18,3.88,4.16,7541,4.16
"X2012.06.18",4.16,4.25,4.11,4.23,13078,4.23
"X2012.06.19",4.23,4.38,4.16,4.37,12240,4.37
"X2012.06.20",4.37,4.4,4.27,4.29,16616,4.29
"X2012.06.21",4.29,4.37,4.1,4.26,18411,4.26
"X2012.06.22",4.26,4.35,4.1,4.23,8031,4.23
"X2012.06.23",4.23,4.25,4.14,4.17,3147,4.17
"X2012.06.24",4.17,4.19,4.09,4.12,4882,4.12
"X2012.06.25",4.12,4.25,4.1,4.18,15250,4.18
"X2012.06.26",4.18,4.32,4.17,4.32,9103,4.32
"X2012.06.27",4.32,4.35,4.22,4.34,4960,4.34
"X2012.06.28",4.34,4.39,4.27,4.39,11571,4.39
"X2012.06.29",4.39,4.4,4.3,4.39,5781,4.39
"X2012.06.30",4.39,4.4,4.29,4.35,12144,4.35
"X2012.07.01",4.35,4.4,4.28,4.38,1515,4.38
"X2012.07.02",4.38,4.39,4.18,4.22,14912,4.22
"X2012.07.03",4.22,4.29,4.18,4.26,16914,4.26
"X2012.07.04",4.26,4.4,4.19,4.32,9238,4.32
"X2012.07.05",4.32,4.41,4.25,4.4,9454,4.4
"X2012.07.06",4.4,4.47,4.29,4.47,4484,4.47
"X2012.07.07",4.47,4.48,4.38,4.48,1194,4.48
"X2012.07.08",4.48,4.58,4.4,4.58,10931,4.58
"X2012.07.09",4.58,4.77,4.51,4.76,25118,4.76
"X2012.07.10",4.76,4.75,4.62,4.7,18650,4.7
"X2012.07.11",4.7,4.98,4.63,4.98,34993,4.98
"X2012.07.12",4.98,5.14,4.9,5.03,26145,5.03
"X2012.07.13",5.03,5.08,4.88,5.01,5091,5.01
"X2012.07.14",5.01,5.03,4.87,5.03,2224,5.03
"X2012.07.15",5.03,5.47,4.99,5.38,7332,5.38
"X2012.07.16",5.38,5.96,4.84,5.68,28678,5.68
"X2012.07.17",5.68,6.04,5.59,5.85,29833,5.85
"X2012.07.18",5.85,6.02,5.7,5.74,24013,5.74
"X2012.07.19",5.74,5.74,4.97,5.57,30581,5.57
"X2012.07.20",5.57,6.03,5.21,5.65,14275,5.65
"X2012.07.21",5.65,5.73,5.4,5.5,4091,5.5
"X2012.07.22",5.5,5.72,5.08,5.51,6814,5.51
"X2012.07.23",5.51,5.77,5.45,5.6,17556,5.6
"X2012.07.24",5.6,5.7,5.5,5.7,17094,5.7
"X2012.07.25",5.7,5.86,5.62,5.76,15855,5.76
"X2012.07.26",5.76,5.85,5.67,5.82,8465,5.82
