,X1,X2,X3,X4,X5,X6
193,Monday 10 December 2018,OIL/GBP,40.5673,OIL GBP rate for Monday 10 December 2018,NA,NA
194,Sunday  9 December 2018,OIL/GBP,41.2033,OIL GBP rate for Sunday  9 December 2018,NA,NA
195,Saturday  8 December 2018,OIL/GBP,40.9741,OIL GBP rate for Saturday  8 December 2018,NA,NA
196,Friday  7 December 2018,OIL/GBP,40.9741,OIL GBP rate for Friday  7 December 2018,NA,NA
197,Thursday  6 December 2018,OIL/GBP,40.2906,OIL GBP rate for Thursday  6 December 2018,NA,NA
198,Wednesday  5 December 2018,OIL/GBP,41.3613,OIL GBP rate for Wednesday  5 December 2018,NA,NA
199,Tuesday  4 December 2018,OIL/GBP,41.5097,OIL GBP rate for Tuesday  4 December 2018,NA,NA
200,Monday  3 December 2018,OIL/GBP,41.8379,OIL GBP rate for Monday  3 December 2018,NA,NA
201,Sunday  2 December 2018,OIL/GBP,41.05,OIL GBP rate for Sunday  2 December 2018,NA,NA
202,Saturday  1 December 2018,OIL/GBP,39.7491,OIL GBP rate for Saturday  1 December 2018,NA,NA
203,Friday 30 November 2018,OIL/GBP,39.7413,OIL GBP rate for Friday 30 November 2018,NA,NA
204,Thursday 29 November 2018,OIL/GBP,40.2277,OIL GBP rate for Thursday 29 November 2018,NA,NA
205,Wednesday 28 November 2018,OIL/GBP,39.4478,OIL GBP rate for Wednesday 28 November 2018,NA,NA
206,Tuesday 27 November 2018,OIL/GBP,40.8691,OIL GBP rate for Tuesday 27 November 2018,NA,NA
207,Monday 26 November 2018,OIL/GBP,40.2761,OIL GBP rate for Monday 26 November 2018,NA,NA
208,Sunday 25 November 2018,OIL/GBP,39.4808,OIL GBP rate for Sunday 25 November 2018,NA,NA
209,Saturday 24 November 2018,OIL/GBP,39.3183,OIL GBP rate for Saturday 24 November 2018,NA,NA
210,Friday 23 November 2018,OIL/GBP,39.3214,OIL GBP rate for Friday 23 November 2018,NA,NA
211,Thursday 22 November 2018,OIL/GBP,41.9685,OIL GBP rate for Thursday 22 November 2018,NA,NA
212,Wednesday 21 November 2018,OIL/GBP,42.782,OIL GBP rate for Wednesday 21 November 2018,NA,NA
213,Tuesday 20 November 2018,OIL/GBP,41.8449,OIL GBP rate for Tuesday 20 November 2018,NA,NA
214,Monday 19 November 2018,OIL/GBP,44.6288,OIL GBP rate for Monday 19 November 2018,NA,NA
215,Sunday 18 November 2018,OIL/GBP,44.6466,OIL GBP rate for Sunday 18 November 2018,NA,NA
216,Saturday 17 November 2018,OIL/GBP,44.4396,OIL GBP rate for Saturday 17 November 2018,NA,NA
217,Friday 16 November 2018,OIL/GBP,44.4396,OIL GBP rate for Friday 16 November 2018,NA,NA
218,Thursday 15 November 2018,OIL/GBP,44.4087,OIL GBP rate for Thursday 15 November 2018,NA,NA
219,Wednesday 14 November 2018,OIL/GBP,43.2126,OIL GBP rate for Wednesday 14 November 2018,NA,NA
220,Tuesday 13 November 2018,OIL/GBP,42.7848,OIL GBP rate for Tuesday 13 November 2018,NA,NA
221,Monday 12 November 2018,OIL/GBP,45.8505,OIL GBP rate for Monday 12 November 2018,NA,NA
222,Sunday 11 November 2018,OIL/GBP,46.9801,OIL GBP rate for Sunday 11 November 2018,NA,NA
223,Saturday 10 November 2018,OIL/GBP,46.1226,OIL GBP rate for Saturday 10 November 2018,NA,NA
224,Friday  9 November 2018,OIL/GBP,46.1375,OIL GBP rate for Friday  9 November 2018,NA,NA
225,Thursday  8 November 2018,OIL/GBP,46.4774,OIL GBP rate for Thursday  8 November 2018,NA,NA
226,Wednesday  7 November 2018,OIL/GBP,46.9808,OIL GBP rate for Wednesday  7 November 2018,NA,NA
227,Tuesday  6 November 2018,OIL/GBP,47.143,OIL GBP rate for Tuesday  6 November 2018,NA,NA
228,Monday  5 November 2018,OIL/GBP,48.1125,OIL GBP rate for Monday  5 November 2018,NA,NA
