"","date","GBPEUR","GBPUSD","GBPJPY","GBPEURLOG","GBPUSDLOG","GBPJPYLOG"
"308","2013-03-06",1.1599,1.513775,141.160004,-0.000517152226661322,0.000605292894989673,-0.000849702633798799
"309","2013-03-07",1.1552,1.499678,140.809998,-0.00406030534926868,-0.00935611262810931,-0.00248257741802504
"310","2013-03-08",1.1459,1.50263,142.610001,-0.00808313470615935,0.00196648774962466,0.0127021890351235
"311","2013-03-11",1.1476,1.491002,143.350006,0.00148245067480723,-0.0077685289836108,0.0051755954241699
"312","2013-03-12",1.1435,1.490535,144.009003,-0.00357907064437388,-0.000313261250032448,0.00458658427001168
"313","2013-03-13",1.1438,1.490535,142.789993,0.000262318018379948,0,-0.00850084803582618
"314","2013-03-14",1.1514,1.492537,143.289993,0.00662254076049346,0.00134224068381095,0.00349552945736953
"315","2013-03-15",1.1595,1.509001,144.798996,0.00701028445387711,0.0109704858789125,0.0104760463493889
"316","2013-03-18",1.1716,1.510757,143.313995,0.0103814582579921,0.00116300723298246,-0.0103085539134069
"317","2013-03-19",1.1661,1.50989,143.910004,-0.00470548842729129,-0.000574049217805794,0.00415013966471811
"318","2013-03-20",1.1731,1.509662,143.481003,0.00598496998538758,-0.00015101578011123,-0.0029854888162566
"319","2013-03-21",1.1664,1.509662,144.835007,-0.0057277352572809,0,0.00939256862087134
"320","2013-03-22",1.1762,1.518211,144.059998,0.00836682077146175,0.00564688328541213,-0.00536534620373352
"321","2013-03-25",1.17,1.524599,144.528,-0.00528515423405379,0.00419875666558112,0.00324339482937486
"322","2013-03-26",1.1802,1.517911,142.580002,0.00868016683126657,-0.00439637718344987,-0.0135700006907928
"323","2013-03-27",1.1786,1.5163,143.440002,-0.00135662221925528,-0.00106189065386808,0.00601358352329484
"324","2013-03-28",1.184,1.512905,142.649994,0.0045712430401379,-0.00224151315046761,-0.00552280764147017
"325","2013-03-29",1.1858,1.519757,143.100998,0.00151911582931635,0.00451880998252535,0.00315662508352155
"326","2013-03-31",1.1863,1.519595,143.272995,0.000421567393790234,-0.000106601670457007,0.00120120559048953
"327","2013-04-01",1.1846,1.522302,141.820007,-0.00143405482419265,0.0017798108973357,-0.0101931690383399
"328","2013-04-02",1.1782,1.510802,141.009995,-0.00541731475527799,-0.00758302722644522,-0.00572792284353074
"329","2013-04-03",1.1778,1.514005,140.602005,-0.000339558577116539,0.00211782186246356,-0.00289753480282862
"330","2013-04-04",1.1775,1.522626,146.809006,-0.000254744619897551,0.00567801827858772,0.0431992234846668
"331","2013-04-07",1.181,1.53492,151.520996,0.00296799030678954,0.00804178661886606,0.031591739733317
"332","2013-04-08",1.1713,1.526252,151.470993,-0.00824729412153336,-0.0056632055739359,-0.000330061534755899
"333","2013-04-09",1.1711,1.532332,151.584,-0.000170765027737357,0.00397570117967827,0.000745785470281923
"334","2013-04-10",1.1738,1.532567,152.684006,0.00230287107614247,0.000153349262380587,0.00723053867463452
"335","2013-04-11",1.1734,1.539172,153.339996,-0.000340831632474586,0.00430050221036254,0.00428718662895022
"336","2013-04-14",1.172,1.535391,151.035995,-0.00119382635480164,-0.00245953776588193,-0.0151394661539559
"337","2013-04-15",1.1717,1.52973,148.046005,-0.000256005462848014,-0.00369382248642619,-0.0199951158344316
"338","2013-04-16",1.1651,1.536098,149.889999,-0.00564876544821438,0.00415418553020491,0.0123786150144065
"339","2013-04-17",1.1693,1.52439,149.404999,0.00359835892037733,-0.00765110473551223,-0.00324095242331701
"340","2013-04-18",1.1707,1.528351,150.091995,0.00119658133935402,0.00259504636840707,0.00458767345704203
"341","2013-04-21",1.1657,1.522534,151.889999,-0.00428009555984016,-0.00381332436257842,0.0119081619615455
"342","2013-04-22",1.1712,1.529988,151.679993,0.00470709928126048,0.00488384019246779,-0.00138357570929415
"343","2013-04-23",1.1716,1.522997,151.798004,0.000341471746531263,-0.00457978812170129,0.000777723638055505
"344","2013-04-24",1.1736,1.527977,151.889999,0.00170561187519355,0.00326453416038958,0.000605852071238644
"345","2013-04-25",1.1866,1.543686,153.306,0.011016126995771,0.0102284247698663,0.00927935598889285
"346","2013-04-28",1.1878,1.549187,151.574005,0.00101078175721683,0.00355721415053201,-0.011361936525919
"347","2013-04-29",1.1827,1.549427,151.600006,-0.00430289632468853,0.000154907968840212,0.000171525256917882
"348","2013-04-30",1.1796,1.55376,151.119995,-0.0026245623159501,0.00279261469964848,-0.003171322679143
"349","2013-05-01",1.181,1.557196,151.210007,0.00118613925624117,0.00220896817388283,0.000595455310846482
"350","2013-05-02",1.1888,1.553712,152.136993,0.00658285776613246,-0.00223986145305244,0.00611173926560316
"351","2013-05-05",1.1869,1.557875,154.367996,-0.00159952890103524,0.00267580657966654,0.0145579516290901
"352","2013-05-06",1.1884,1.55376,154.360001,0.00126299852599293,-0.00264491330049693,-5.17931647241454e-05
"353","2013-05-07",1.1834,1.547988,152.888,-0.00421621334585878,-0.00372177666440249,-0.0095819159610997
"354","2013-05-08",1.1808,1.554291,153.667999,-0.0021994763963856,0.00406346990249057,0.00508879738626788
"355","2013-05-09",1.1848,1.544592,155.606003,0.00338180910738098,-0.00625969529683684,0.0125327661186825
"356","2013-05-12",1.1829,1.534189,156.371002,-0.00160493340189785,-0.00675789514831643,0.00490421102200678
"357","2013-05-13",1.1783,1.530901,155.600006,-0.0038963288323963,-0.0021454516906268,-0.00494275140893574
"358","2013-05-14",1.1768,1.522719,155.606995,-0.00127383143206714,-0.00535889834408881,4.49154419968067e-05
"359","2013-05-15",1.1826,1.523995,155.804993,0.00491651409950178,0.00083762379705149,0.00127161467323056
"360","2013-05-16",1.1854,1.527697,156.024994,0.00236486596700822,0.00242619623209878,0.00141103194480152
